FileName,Sheet,Caption
Table 1 - Parameters and data sampled July 2011-October 2014.xlsx,Table 1,Table 1 - Parameters and Data
Table 2 Sampling Frequency for Biotic and Abiotic Sampling at Topock Marsh July 2011-Oct 2014.xlsx,Table 2,Table 2 - Sampling Frequency for Biotic and Abiotic Sampling
Table 3 Sampling Dates and WSE.xlsx,Sheet1,Table 3 - Sampling Dates and WSE
Table 4_ Oct 2011_July 2013_Oct 2014 SOIL data combined.xlsx,Table 4,Table 4 - SOIL Data
Table 5 - Topock Marsh 2011-12 & 2013-14 WQ.xlsx,Table 5,Table 5 - Topock Marsh Water Quality
Table 6 - Metals Oct 2011 July 2013 & Sept-Oct 2014 events plus July 2013 and Oct 2014 ion data.xlsx,Table 6 -Elements 2011_13_14,Table 6 - Metals and Ion Data
Table 7 and 8 Lists of Zoop and Phyto Species - 2013 & 2014w reps.xlsx,Table 7 -Phytoplankton,Table 7 - Lists of Phytoplankton Species
Table 7 and 8 Lists of Zoop and Phyto Species - 2013 & 2014w reps.xlsx,Table 8 - Zoops,Table 8 - Lists of Zooplankton Species
Table 9 Macroinvertebrate taxa and numbers for 2011-2012 & 2013-2014.xlsx,Table 9,Table 9 - Macroinvertebrate Taxa and Numbers
Table 10 - Topock Bulrush plant analyses July_2013 and Oct_2014.xlsx,Table 10 Plant analyses,Table 10 - Topock Bulrush Plant Analyses
Table 11 - Topock Fish Data 2010-2015.xlsx,Table 10 Fish Data,Table 11 - Topock Fish Data 2010-2015
